YEAR,2016 (MW),2017 (MW),2018 (MW),2019 (MW),2020 (MW),2021 (MW),2022 (MW)
Solar,4768,4659,4719,4717,4874,4979,5137
Wind,8739,9024,9261,9617,10224,10302,10658
Hydro,21772,21921,22012,22081,22176,22202,22204
Fossil Gas,29923,39868,39103,46322,42523,41925,41961
Fossil Hard Coal,6386,7902,6030,4851,7617,6987,6376
Other,26206,10319,12655,6785,7194,6962,6895
Toplam,97794,93693,93780,94373,94608,93357,93231
