Production Type,2022 [MW]
Biomass,2239
Fossil Brown coal/Lignite,n/e
Fossil Coal-derived gas,n/e
Fossil Gas,12239
Fossil Hard coal,1816
Fossil Oil,2464
Fossil Oil shale,n/e
Fossil Peat,n/e
Geothermal,2
Hydro Pumped Storage,5040
Hydro Run-of-river and poundage,11423
Hydro Water Reservoir,8785
Marine,243
Nuclear,61370
Other,946
Other renewable,n/e
Solar,14298
Waste,
Wind Offshore,10
Wind Onshore,17217
Total Grand capacity,138092
